,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,region,GDP,Medal Values,BMI
9501,87833,Hugues Obry,M,27.0,185.0,75.0,France,FRA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Individual",Silver,France,1368438363736.8713,1,21.913805697589478
9502,87833,Hugues Obry,M,27.0,185.0,75.0,France,FRA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Team",Silver,France,1368438363736.8713,1,21.913805697589478
9503,87833,Hugues Obry,M,31.0,185.0,75.0,France,FRA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's epee, Team",Gold,France,2124112242364.0427,1,21.913805697589478
9504,87849,Xavier O'Callaghan Ferrer,M,28.0,186.0,80.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,Bronze,Spain,595402616546.8951,1,23.12406058503873
9505,87857,"Leslie James ""Les"" O'Connell",M,26.0,193.0,89.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold,New Zealand,21665456808.047287,1,23.893258879433006
9506,87864,Cian O'Connor,M,32.0,176.0,74.0,Ireland,IRL,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze,Ireland,225571857948.33768,1,23.889462809917354
9507,87869,David O'Connor,M,34.0,180.0,77.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,USA,8100201000000.0,1,23.76543209876543
9508,87869,David O'Connor,M,38.0,180.0,77.0,United States,USA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold,USA,10284779000000.0,1,23.76543209876543
9509,87869,David O'Connor,M,38.0,180.0,77.0,United States,USA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,USA,10284779000000.0,1,23.76543209876543
9510,87878,Mary Anne O'Connor,F,22.0,180.0,72.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Women's Basketball,Silver,USA,1877587000000.0,1,22.22222222222222
9511,87890,Siobhan-Marie O'Connor,F,20.0,173.0,60.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley,Silver,UK,2647898654635.2383,1,20.04744562130375
9512,87896,"Miguel ngel ""Miki"" Oca Gaia",M,22.0,187.0,83.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Silver,Spain,629202392003.9006,1,23.735308416025617
9513,87896,"Miguel ngel ""Miki"" Oca Gaia",M,26.0,187.0,83.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold,Spain,640998292394.5883,1,23.735308416025617
9514,87909,Diego Occhiuzzi,M,27.0,180.0,76.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Bronze,Italy,2390729163615.058,3,23.456790123456788
9515,87909,Diego Occhiuzzi,M,31.0,180.0,76.0,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Individual",Silver,Italy,2072823157059.7622,1,23.456790123456788
9516,87909,Diego Occhiuzzi,M,31.0,180.0,76.0,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",Bronze,Italy,2072823157059.7622,1,23.456790123456788
9517,87911,Glenn Ochal,M,26.0,194.0,95.0,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Bronze,USA,16155255000000.0,1,25.241789775746625
9518,87916,Isabella Bosibori Ochichi,F,24.0,152.0,41.0,Kenya,KEN,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",Silver,Kenya,16095337093.836597,1,17.74584487534626
9519,87919,Sofya Albertovna Ochigava,F,25.0,170.0,60.0,Russia,RUS,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Lightweight,Silver,Russia,2210256976945.3755,1,20.761245674740486
9520,87934,"Deborah Lynn ""Debra"" Ochs (-Asay)",F,22.0,170.0,55.0,United States,USA,1988 Summer,1988,Summer,Seoul,Archery,Archery Women's Team,Bronze,USA,5252629000000.0,1,19.031141868512112
9521,87940,"Edward ""Eddie"" Ockenden",M,21.0,180.0,73.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,Australia,1055334825425.2462,1,22.530864197530864
9522,87940,"Edward ""Eddie"" Ockenden",M,25.0,180.0,73.0,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,Australia,1538194473087.2344,2,22.530864197530864
9523,87947,George Dyer O'Day,M,37.0,180.0,87.0,Minotaur,USA,1960 Summer,1960,Summer,Roma,Sailing,Sailing Mixed 5.5 metres,Gold,USA,543300000000.0,2,26.85185185185185
9524,87953,Peter Joseph O'Donnell,M,25.0,183.0,89.0,Barrenjoey,AUS,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed 5.5 metres,Gold,Australia,23787658192.406765,1,26.575890590940304
9525,87962,Gary O'Donovan,M,23.0,172.0,70.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Silver,Ireland,304819020500.64087,1,23.661438615467823
9526,87963,Paul O'Donovan,M,22.0,177.0,70.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Silver,Ireland,304819020500.64087,1,22.34351559258195
9527,87973,Emiko Odaka,F,21.0,179.0,68.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze,Japan,1309740021609.7422,2,21.22280827689523
9528,87989,Vicyohandri Odeln Sanam,M,24.0,179.0,84.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Gold,Cuba,38203000000.0,1,26.216410224399986
9529,87989,Vicyohandri Odeln Sanam,M,28.0,179.0,84.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Silver,Cuba,60806300000.0,1,26.216410224399986
9530,87992,Elaina Joyce Oden,F,25.0,185.0,64.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Bronze,USA,6539299000000.0,1,18.699780861943022
9531,87993,"Kimberley Yvette ""Kim"" Oden",F,28.0,190.0,69.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Bronze,USA,6539299000000.0,1,19.113573407202217
9532,88024,Lamar Joseph Odom,M,24.0,208.0,102.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Bronze,USA,12274928000000.0,1,23.57618343195266
9533,88067,Trent Carl Wayne Oeltjen,M,21.0,188.0,88.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Australia,613329776639.6359,1,24.898143956541425
9534,88068,Alexander Dale Oen,M,23.0,190.0,80.0,Norway,NOR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,Silver,Norway,462554432624.1135,1,22.1606648199446
9535,88073,"Alfred Adolph ""Al"" Oerter, Jr.",M,23.0,192.0,125.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Discus Throw,Gold,USA,543300000000.0,1,33.90842013888889
9536,88073,"Alfred Adolph ""Al"" Oerter, Jr.",M,28.0,192.0,125.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Discus Throw,Gold,USA,685800000000.0,1,33.90842013888889
9537,88073,"Alfred Adolph ""Al"" Oerter, Jr.",M,32.0,192.0,125.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Discus Throw,Gold,USA,942500000000.0,1,33.90842013888889
9538,88088,Raisa Mirelda O'Farrill Bolanos,F,24.0,183.0,74.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Gold,Cuba,25017300000.0,1,22.096807907073963
9539,88115,Stine Bredal Oftedal,F,24.0,168.0,65.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze,Norway,371076190476.1905,1,23.030045351473927
9540,88121,Diane Carolyn O'Grady,F,28.0,180.0,75.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Quadruple Sculls,Bronze,Canada,628546387972.1306,1,23.148148148148145
